MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,21
MO1,Plastics,50,06
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,4
MO1,Plastics,50,2
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,12
MO1,Plastics,50,NA
MO1,Plastics,50,23
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,23
MO1,Plastics,50,45
MO1,Plastics,50,06
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA
MO1,Plastics,50,NA

